Design Point;main_inlet_velocity [m s^-1];main_inlet_temperature [K];sec_inlet_velocity [m s^-1];sec_inlet_temperature [K]
DP 1;5.0075;330.46500000000003;42.575000000000017;491.12900000000013
DP 2;5.0225;318.98900000000003;22.625;598.94300000000021
DP 3;5.0375;495.65900000000016;66.575000000000031;331.069
DP 4;5.0525;373.95300000000003;42.425000000000018;539.14700000000016
DP 5;5.0675;393.58300000000008;35.57500000000001;335.59900000000005
DP 6;5.0825;523.44300000000021;68.525000000000034;511.36300000000017
DP 7;5.0975;394.18700000000007;32.82500000000001;373.95300000000003
DP 8;5.1125;555.75700000000018;29.275000000000006;410.79700000000008
DP 9;5.1275;560.58900000000017;20.475;381.201
DP 10;5.1425;382.71100000000007;37.525000000000013;489.01500000000016
DP 11;5.1575;445.82900000000012;55.675000000000026;491.43100000000015
DP 12;5.1725;575.38700000000017;53.175000000000018;325.029
DP 13;5.1875;585.6550000000002;28.775000000000006;508.04100000000017
DP 14;5.2025;563.30700000000024;63.325000000000038;425.29300000000012
DP 15;5.2175;530.99300000000017;30.725000000000009;551.2270000000002
DP 16;5.2325;568.13900000000024;23.775000000000002;546.99900000000025
DP 17;5.2475000000000005;302.983;37.225000000000009;339.52500000000003
DP 18;5.2625;552.73700000000019;27.375000000000007;379.69100000000003
DP 19;5.2775;541.26100000000019;20.775;490.22300000000018
DP 20;5.2925;319.291;29.225000000000009;317.47900000000004
DP 21;5.3075;473.00900000000013;48.925000000000026;578.70900000000017
DP 22;5.3225;433.1450000000001;28.425000000000004;368.21500000000003
DP 23;5.3375;385.42900000000009;31.425000000000011;481.46500000000015
DP 24;5.3525;490.52500000000009;53.525000000000027;408.68300000000011
DP 25;5.3675000000000006;443.1110000000001;65.17500000000004;599.24500000000023
DP 26;5.3825;546.39500000000021;68.67500000000004;466.66700000000014
DP 27;5.3975;472.40500000000009;47.425000000000026;358.55100000000004
DP 28;5.4125000000000005;440.09100000000012;61.425000000000033;326.53900000000004
DP 29;5.4275;496.26300000000015;63.125000000000036;363.68500000000006
DP 30;5.4425;505.02100000000013;26.975000000000005;528.57700000000023
DP 31;5.4575000000000005;363.081;53.325000000000024;497.1690000000001
DP 32;5.4725;586.86300000000028;67.875000000000028;339.223
DP 33;5.4875000000000007;409.89100000000008;65.725000000000037;559.3810000000002
DP 34;5.5025;465.45900000000017;66.475000000000023;368.51700000000005
DP 35;5.5175;597.43300000000022;24.775000000000006;542.46900000000016
DP 36;5.5325000000000006;462.43900000000014;62.775000000000027;473.00900000000013
DP 37;5.5475;390.86500000000007;67.475000000000037;554.54900000000021
DP 38;5.5625;356.73900000000003;20.175;310.83500000000004
DP 39;5.5775000000000006;407.47500000000008;57.525000000000034;402.34100000000007
DP 40;5.5925;354.02100000000007;44.77500000000002;428.01100000000008
DP 41;5.6075000000000008;378.18100000000004;66.025000000000034;544.88500000000022
DP 42;5.6225000000000005;312.043;23.125000000000004;313.25100000000003
DP 43;5.6375;551.52900000000022;46.175000000000011;324.425
DP 44;5.6525000000000007;388.44900000000007;69.275000000000034;413.21300000000008
DP 45;5.6675;351.605;23.275000000000002;355.833
DP 46;5.682500000000001;541.86500000000024;36.625000000000014;523.74500000000012
DP 47;5.6975000000000007;556.3610000000001;59.625000000000036;592.60100000000023
DP 48;5.7125;434.95700000000011;32.275000000000006;533.71100000000024
DP 49;5.7275000000000009;396.30100000000004;37.875000000000014;471.8010000000001
DP 50;5.7425000000000006;578.10500000000025;56.075000000000024;473.91500000000013
DP 51;5.7575;508.6450000000001;61.875000000000028;430.12500000000011
DP 52;5.7725000000000009;526.7650000000001;48.52500000000002;453.07700000000011
DP 53;5.7875000000000005;570.55500000000029;40.075000000000017;328.351
DP 54;5.8025;437.97700000000009;48.425000000000026;466.36500000000012
DP 55;5.8175000000000008;384.523;50.975000000000023;534.01300000000015
DP 56;5.8325000000000005;337.10900000000004;53.27500000000002;558.77700000000016
DP 57;5.847500000000001;367.30900000000008;26.025000000000006;434.65500000000009
DP 58;5.8625000000000007;309.023;37.425000000000011;316.271
DP 59;5.8775;544.28100000000018;51.825000000000024;414.72300000000007
DP 60;5.892500000000001;537.93900000000019;25.875000000000004;307.51300000000003
DP 61;5.9075000000000006;373.047;62.675000000000033;504.41700000000014
DP 62;5.9225000000000012;414.42100000000011;21.925;454.88900000000012
DP 63;5.9375000000000009;487.80700000000013;33.925000000000011;331.975
DP 64;5.9525000000000006;474.2170000000001;20.125;596.52700000000027
DP 65;5.9675000000000011;511.66500000000013;43.875000000000014;409.28700000000009
DP 66;5.9825000000000008;409.58900000000006;64.67500000000004;354.62500000000006
DP 67;5.9975000000000005;379.08700000000005;50.125000000000028;485.99500000000012
DP 68;6.0125000000000011;544.5830000000002;24.575000000000003;555.45500000000015
DP 69;6.0275000000000007;349.793;36.525000000000013;398.41500000000008
DP 70;6.0425;325.63300000000004;42.325000000000017;505.32300000000021
DP 71;6.057500000000001;375.46300000000008;46.075000000000017;366.10100000000006
DP 72;6.0725000000000007;382.10700000000008;54.625000000000028;455.19100000000014
DP 73;6.0875;560.89100000000019;21.125;424.38700000000011
DP 74;6.1025000000000009;524.9530000000002;61.125000000000036;354.32300000000004
DP 75;6.1175000000000006;585.35300000000018;21.175;300.869
DP 76;6.1325;557.87100000000021;23.175;391.77100000000007
DP 77;6.1475000000000009;426.80300000000011;52.875000000000021;477.84100000000012
DP 78;6.1625000000000005;550.01900000000023;66.775000000000034;334.69300000000004
DP 79;6.1775000000000011;485.99500000000012;33.225000000000009;427.70900000000006
DP 80;6.1925000000000008;470.59300000000007;50.925000000000026;580.21900000000028
DP 81;6.2075000000000014;579.01100000000019;64.275000000000034;569.34700000000021
DP 82;6.222500000000001;456.39900000000011;25.025000000000006;475.72700000000015
DP 83;6.2375000000000007;479.35100000000011;69.17500000000004;525.85900000000015
DP 84;6.2525000000000013;422.87700000000007;55.975000000000023;397.20700000000005
DP 85;6.267500000000001;530.38900000000012;22.875000000000004;526.46300000000019
DP 86;6.2825000000000006;320.197;42.675000000000018;361.26900000000006
DP 87;6.2975000000000012;455.79500000000013;31.675000000000011;330.163
DP 88;6.3125000000000009;364.28900000000004;41.575000000000017;412.91100000000006
DP 89;6.3275000000000006;514.68500000000017;46.475000000000016;390.26100000000008
DP 90;6.3425000000000011;405.3610000000001;36.375000000000014;318.385
DP 91;6.3575000000000008;402.34100000000007;66.525000000000034;374.25500000000005
DP 92;6.3725000000000005;501.69900000000018;42.825000000000017;534.31500000000017
DP 93;6.3875000000000011;528.2750000000002;63.525000000000034;499.58500000000015
DP 94;6.4025000000000007;533.71100000000024;52.075000000000017;530.99300000000017
DP 95;6.4175000000000013;326.841;55.525000000000027;378.48300000000006
DP 96;6.432500000000001;467.27100000000013;41.825000000000017;468.47900000000016
DP 97;6.4475000000000016;448.8490000000001;36.925000000000011;356.13500000000005
DP 98;6.4625000000000012;539.44900000000018;20.575;538.84500000000014
DP 99;6.4775000000000009;379.99300000000005;37.825000000000017;484.48500000000013
DP 100;6.4925000000000015;567.23300000000017;42.625000000000014;520.72500000000014
DP 101;6.5075000000000012;461.53300000000013;36.425000000000011;573.87700000000018
DP 102;6.5225000000000009;327.747;35.125000000000014;438.27900000000011
DP 103;6.5375000000000014;582.63500000000022;46.825000000000017;585.95700000000022
DP 104;6.5525000000000011;412.60900000000009;26.575000000000003;473.61300000000011
DP 105;6.5675000000000008;331.069;51.325000000000024;514.68500000000017
DP 106;6.5825000000000014;473.31100000000015;63.375000000000028;351.30300000000005
DP 107;6.597500000000001;487.20300000000015;53.675000000000018;533.40900000000011
DP 108;6.6125000000000007;332.88100000000003;48.975000000000016;567.83700000000022
DP 109;6.6275000000000013;414.72300000000007;30.225000000000009;422.5750000000001
DP 110;6.642500000000001;326.237;68.975000000000037;364.89300000000003
DP 111;6.6575000000000015;355.833;33.675000000000011;522.23500000000013
DP 112;6.6725000000000012;346.16900000000004;21.525000000000002;352.511
DP 113;6.6875000000000018;463.04300000000012;29.775000000000006;415.62900000000008
DP 114;6.7025000000000015;562.09900000000016;20.225;380.59700000000004
DP 115;6.7175000000000011;450.05700000000007;57.775000000000027;395.09300000000007
DP 116;6.7325000000000017;483.57900000000018;41.125000000000014;387.24100000000004
DP 117;6.7475000000000014;545.48900000000015;47.375000000000014;394.79100000000005
DP 118;6.7625000000000011;308.117;27.575000000000006;319.291
DP 119;6.7775000000000016;406.56900000000007;40.675000000000011;507.13500000000016
DP 120;6.7925000000000013;335.297;51.02500000000002;375.76500000000004
DP 121;6.807500000000001;444.01700000000011;68.075000000000031;327.44500000000005
DP 122;6.8225000000000016;450.66100000000006;69.725000000000051;587.46700000000021
DP 123;6.8375000000000012;591.09100000000024;68.625000000000043;443.71500000000015
DP 124;6.8525000000000009;307.51300000000003;69.775000000000034;431.33300000000008
DP 125;6.8675000000000015;425.59500000000008;60.175000000000026;543.67700000000013
DP 126;6.8825000000000012;386.63700000000006;37.475000000000009;306.607
DP 127;6.8975000000000009;558.77700000000016;66.875000000000028;545.79100000000017
DP 128;6.9125000000000014;590.18500000000017;47.475000000000016;496.86700000000019
DP 129;6.9275000000000011;397.20700000000005;40.125000000000014;553.34100000000012
DP 130;6.9425000000000008;349.49100000000004;65.775000000000034;497.77300000000014
DP 131;6.9575000000000014;477.23700000000008;20.325;460.3250000000001
DP 132;6.972500000000001;567.83700000000022;55.175000000000026;476.33100000000013
DP 133;6.9875000000000016;581.72900000000027;29.425000000000008;404.15300000000008
DP 134;7.0025000000000013;469.98900000000009;32.925000000000011;521.93300000000011
DP 135;7.0175000000000018;483.2770000000001;59.125000000000028;518.91300000000012
DP 136;7.0325000000000015;441.60100000000011;23.075000000000003;431.93700000000013
DP 137;7.0475000000000012;548.81100000000015;44.625000000000014;355.53100000000006
DP 138;7.0625000000000018;452.47300000000007;42.125000000000014;372.74500000000006
DP 139;7.0775000000000015;420.46100000000013;46.52500000000002;483.88100000000009
DP 140;7.0925000000000011;419.55500000000006;39.425000000000011;598.64100000000019
DP 141;7.1075000000000017;317.177;50.625000000000028;338.01500000000004
DP 142;7.1225000000000014;421.97100000000012;65.025000000000034;351.90700000000004
DP 143;7.1375000000000011;476.33100000000013;41.77500000000002;461.53300000000013
DP 144;7.1525000000000016;341.94100000000003;43.675000000000018;360.06100000000004
DP 145;7.1675000000000013;510.45700000000011;36.275000000000013;363.081
DP 146;7.182500000000001;346.471;69.875000000000028;511.96700000000021
DP 147;7.1975000000000016;329.559;20.725;488.10900000000015
DP 148;7.2125000000000021;420.15900000000011;36.875000000000014;563.60900000000015
DP 149;7.2275000000000009;376.369;34.625000000000014;404.75700000000006
DP 150;7.2425000000000015;516.49700000000018;28.075000000000006;363.38300000000004
DP 151;7.2575000000000021;298.755;38.325000000000017;385.73100000000005
DP 152;7.2725000000000017;443.41300000000012;52.225000000000023;598.33900000000017
DP 153;7.2875000000000014;582.03100000000018;49.02500000000002;552.73700000000019
DP 154;7.302500000000002;365.79900000000004;66.225000000000037;549.41500000000019
DP 155;7.3175000000000017;331.975;54.075000000000024;383.31500000000005
DP 156;7.3325000000000014;413.21300000000008;58.475000000000023;327.14300000000003
DP 157;7.3475000000000019;547.30100000000016;33.975000000000009;534.61700000000019
DP 158;7.3625000000000016;432.23900000000009;29.725000000000009;336.807
DP 159;7.3775000000000013;565.11900000000014;65.875000000000028;579.31300000000022
DP 160;7.3925000000000018;366.403;50.77500000000002;444.01700000000011
DP 161;7.4075000000000015;299.359;21.875;432.54100000000011
DP 162;7.4225000000000012;312.949;56.275000000000027;340.73300000000006
DP 163;7.4375000000000018;574.48100000000022;58.675000000000026;550.62300000000027
DP 164;7.4525000000000023;318.083;47.325000000000017;520.12100000000009
DP 165;7.4675000000000011;298.453;54.72500000000003;548.50900000000024
DP 166;7.4825000000000017;305.097;62.525000000000034;324.12300000000005
DP 167;7.4975000000000023;345.56500000000005;23.025000000000002;502.90700000000015
DP 168;7.512500000000002;520.42300000000023;41.625000000000014;575.38700000000017
DP 169;7.5275000000000016;418.04500000000007;69.025000000000034;412.00500000000011
DP 170;7.5425000000000022;387.54300000000006;36.725000000000009;311.439
DP 171;7.5575000000000019;484.48500000000013;69.42500000000004;318.083
DP 172;7.5725000000000016;412.00500000000011;38.225000000000009;401.73700000000008
DP 173;7.5875000000000021;559.68300000000022;55.125000000000028;321.40500000000003
DP 174;7.6025000000000018;383.31500000000005;61.625000000000036;398.11300000000006
DP 175;7.6175000000000015;353.115;55.425000000000026;357.04100000000005
DP 176;7.6325000000000021;345.26300000000003;59.825000000000031;599.84900000000016
DP 177;7.6475000000000017;359.759;46.325000000000017;433.1450000000001
DP 178;7.6625000000000014;460.02300000000014;56.775000000000027;362.47700000000003
DP 179;7.677500000000002;471.49900000000014;48.875000000000014;580.52100000000019
DP 180;7.6925000000000026;595.92300000000023;20.075;322.613
DP 181;7.7075000000000014;508.04100000000017;28.825000000000006;424.9910000000001
DP 182;7.7225000000000019;307.815;32.475000000000009;325.63300000000004
DP 183;7.7375000000000025;469.3850000000001;67.725000000000037;357.94700000000006
DP 184;7.7525000000000022;511.96700000000021;68.225000000000037;541.26100000000019
DP 185;7.7675000000000018;405.05900000000008;52.025000000000027;483.57900000000018
DP 186;7.7825000000000024;532.50300000000016;56.975000000000023;359.759
DP 187;7.7975000000000021;589.88300000000027;62.025000000000034;369.42300000000006
DP 188;7.8125000000000018;584.44700000000023;65.125000000000028;579.01100000000019
DP 189;7.8275000000000023;387.84500000000008;57.425000000000033;420.15900000000011
DP 190;7.842500000000002;389.95900000000006;50.475000000000023;498.07500000000016
DP 191;7.8575000000000017;559.07900000000018;38.025000000000013;561.49500000000023
DP 192;7.8725000000000023;447.64100000000008;59.325000000000031;507.43700000000013
DP 193;7.887500000000002;392.67700000000008;23.975;405.96500000000009
DP 194;7.9025000000000016;454.88900000000012;36.025000000000013;509.85300000000018
DP 195;7.9175000000000022;553.94500000000016;59.925000000000033;396.60300000000007
DP 196;7.9325000000000028;307.211;34.275000000000006;487.50500000000011
DP 197;7.9475000000000016;537.63700000000017;47.725000000000023;505.92700000000013
DP 198;7.9625000000000021;313.855;43.075000000000017;469.3850000000001
DP 199;7.9775000000000027;363.38300000000004;26.375000000000004;565.72300000000018
DP 200;7.9925000000000024;355.53100000000006;53.025000000000027;598.03700000000026
DP 201;8.0075000000000021;553.03900000000021;43.725000000000023;323.821
DP 202;8.0225000000000026;465.76100000000008;35.875000000000014;387.54300000000006
DP 203;8.0375000000000014;356.13500000000005;40.825000000000017;330.76700000000005
DP 204;8.052500000000002;540.35500000000025;54.525000000000027;458.51300000000009
DP 205;8.0675000000000026;372.74500000000006;33.82500000000001;407.7770000000001
DP 206;8.0825000000000031;428.91700000000009;63.175000000000033;535.52300000000014
DP 207;8.0975000000000019;537.33500000000026;58.425000000000033;557.87100000000021
DP 208;8.1125000000000025;448.54700000000014;51.875000000000021;375.16100000000006
DP 209;8.1275000000000013;481.76700000000017;61.575000000000031;336.505
DP 210;8.1425000000000018;464.55300000000011;66.375000000000028;318.687
DP 211;8.1575000000000024;427.4070000000001;44.325000000000017;335.901
DP 212;8.172500000000003;493.24300000000017;31.025000000000009;429.52100000000007
DP 213;8.1875000000000018;547.9050000000002;35.025000000000013;389.65700000000004
DP 214;8.2025000000000023;431.33300000000008;46.425000000000026;433.74900000000014
DP 215;8.2175000000000029;341.035;56.175000000000026;430.7290000000001
DP 216;8.2325000000000017;467.57300000000009;43.27500000000002;359.15500000000003
DP 217;8.2475000000000023;491.12900000000013;48.475000000000016;530.69100000000026
DP 218;8.2625000000000028;508.94700000000017;26.475000000000005;434.95700000000011
DP 220;8.2925000000000022;343.451;23.625000000000004;576.89700000000016
DP 221;8.3075000000000028;316.57300000000004;21.775000000000002;583.8430000000003
DP 222;8.3225000000000016;559.98500000000013;48.27500000000002;452.77500000000009
