Design Point;main_inlet_velocity [m s^-1];main_inlet_temperature [K];sec_inlet_velocity [m s^-1];sec_inlet_temperature [K]
DP 1021;20.125;621.75;74.125;617.25
DP 1022;20.375;626.25;82.375;629.25
DP 1023;20.625;611.25;83.125;608.25
DP 1024;20.875;608.25;75.625;606.75
DP 1025;21.125;617.25;81.625;605.25
DP 1026;21.375;602.25;72.625;624.75
DP 1027;21.625;627.75;70.375;614.25
DP 1028;21.875;603.75;74.875;612.75
DP 1029;22.125;614.25;71.125;618.75
DP 1030;22.375;609.75;84.625;626.25
DP 1031;22.625;606.75;80.125;600.75
DP 1032;22.875;618.75;83.875;621.75
DP 1033;23.125;600.75;73.375;620.25
DP 1034;23.375;624.75;77.875;603.75
DP 1035;23.625;620.25;71.875;615.75
DP 1036;23.875;623.25;77.125;602.25
DP 1037;24.125;629.25;79.375;611.25
DP 1038;24.375;605.25;78.625;609.75
DP 1039;24.625;615.75;76.375;627.75
DP 1040;24.875;612.75;80.875;623.25
